Group,Category,Number,Site,Country,Proposed Absolute Age (Ma),Dating Method,Paleontology,Archaeology,Hominin Fossils,Lat ,Lng,RefN,Ref.,Notes
C,Both,16,Arago,France,0.56-0.53,"ESR, U-series, biostratigraphy","*Hemitragus bonali, Palaeoloxodon antiquus, Ursus deningeri, Cervus elaphus, Dama sp., Praeovibos priscus, Rangifer tarandus, Bison priscus, Equus mosbachensis, Stephanorhinus hemitoechus, Cuon priscus*","~150k stone artifacts (flakes, cores, pebble tools, bifaces, notches, denticulates)",*H. heidelbergensis*,42.8397,2.7549,"12, 25","Falgueres et al. 2015, Barksy and de Lumley 2010",
C,Arch,17,Carpentier Quarry,France,0.55-0.5,"ESR, U-series, biostratigraphy","*Arvicola cantiana/mosbachensis, Talpa minor, Trogontherium, Pliomys cf. lenki, Stephanorhinus hundseimensis, Mammuthus meridionalis, Palaeoloxodon antiquus, Sus scrofa, Homotherium latidens, Cervus cf. elaphus, Bos primigenius, Ursus deningeri, Mustela nivalis*",5 flakes and 3 bifaces,,50.1066,1.83,"5, 6","Antoine et al. 2015, Antoine et al. 2016",
A,Arch,18,Warren Hill,UK,0.533-0.478,ESR,,">2000 stone artifacts (bifaces, flakes, scrapers. Cores) ",,52.3348,0.5576,22,Davis et al. 2021,
A,Arch,19,High Lodge,UK,0.533-0.479,Biostratigraphy,"*Stephanorhinus hundshiemensis, Palaeoloxodon antiquus, Trogontherium sp.*",">1000 stone artifacts (notches, denticulates, scrapers, flakes, cores, bifaces)",,52.3492,0.5513,"16, 59","Stileman et al. 2024, Brumm and McLaren 2011",
C,Both,20,Boxgrove,UK,0.533-0.481,Biostratigraphy,"*Sorex runtonensis, Sorex savini, Pliomys episcopalis, Arvicola terrestris cantiana, Microtus gregalis, Ursus deningeri, Stephanorhinus hundsheimensis, Megaloceros dawkinsi, Megaloceros cf. verticornis*","Bifaces, end scrapers, side scrapers, transverse and notch scrapers, hammerstones",*H. heidelbergensis*,50.8699,-0.698,60,Stringer et al. 1998,
C,Arch,21,Ficoncella,Italy,~0.5,^40^Ar/^39^Ar,"*Palaeoloxodon antiquus, Equus sp., Hippopotamus sp., Dama sp., Bos primigenius, Talpa europea*","409 stone artifacts (flakes, cores, retouch flakes)",,42.247,11.7329,9,Aureli et al. 2015,
C,Arch,22,La Grande Vallee,France,0.5-0.4,"TL, geomorphology",,">18k stone artifacts (bifaces, scrapers, denticulates, flakes, cores)",,46.580224,0.340375,34,Herisson et al. 2016,This was the closest town to the site. Can't find the exact coordinates. This point is roughly 14 to 16 miles away. 
C,Both,23,Visogliano,Italy,0.5-0.35,"ESR, U-series, biostratigraphy","*Stephanorhinus hundshaimensis, Sus scrofa, Dama clactoniana, Cervus elaphus, Bison shoetensacki, Ursus deningeri, Canis mosbachenisis, Martes martes, Meles meles, Allocricetus bursae, Arvicola cantianus, Dinaromys bogdanovi*","2000+ stone artifacts (side-scrapers, discoidal cores, choppers, flakes)",*Homo* sp.,45.77237,13.63824,"1, 24","Falgueres et al. 2008, Abbazzi et al. 2000",
C,Both,24,Galeria,Spain,0.46-0.25,"ESR, U-series, TL-IRSL, TT-OSL","*Dama dama, Cervus elaphus, Megaceroides solilhacus, Hemitragus bonali, Equus ferus, Stephanorhinus hemitoechus, Ursus deningeri, Panthera leo, Lynx pardinus, Felis silvestris, Canis lupus, Vulpes vulpes, Meles meles, Mustela nivalis, Mustela putorius*",">600 stone artifacts (denticulates, notches, points, scrapers, endscrapers, cleavers, bifaces)",*H. heidelbergensis*,,,"27, 29, 30","Garcia and Arsuaga 2011, Garcia-Medrano et al. 2017, Garcia-Medrano et al. 2014",
C,Arch,25,Menez-Dregan,France,~0.45-0.15,"ESR, TL",,">150k stone artifacts (chopers, bifaces, cleavers, cores, flakes)",,47.98588,-4.47461,51,Ravon 2019,
C,Both,26,Swanscombe,UK,0.424-0.374,Biostratigraphy,"*Palaeoloxodon antiquus, Stephanorhinus kirchbergensis, Stephanorhinus hemitoechus, Megaloceros giganteus, Bos primigenius, Cervus elaphus, Dama dama*","Cores, flakes, bifaces",*H. neanderthalensis*,51.4462,0.2989,"58, 70","Smith 2013, Wenban-Smith et al. 2014",
